date,open,high,low,close,adjclose,volume,ticker
2021-06-27,28740.0,28943.349609375,26840.05078125,27014.900390625,26741.771484375,220729,SHREECEM.NS
2021-07-04,27190.0,28114.099609375,26950.0,27502.75,27224.689453125,297009,SHREECEM.NS
2021-07-11,27698.5,28580.0,27584.05078125,28096.150390625,27812.091796875,199289,SHREECEM.NS
2021-07-18,28050.0,28555.0,27817.099609375,27986.400390625,27703.44921875,147917,SHREECEM.NS
2021-07-25,27900.0,28473.0,27162.80078125,28265.75,28039.884765625,179283,SHREECEM.NS
2021-08-01,28280.19921875,30100.0,28280.19921875,28386.599609375,28159.767578125,273642,SHREECEM.NS
2021-08-08,28599.0,28999.0,26385.05078125,26600.400390625,26387.83984375,370024,SHREECEM.NS
2021-08-15,26735.0,26735.0,25725.05078125,26291.150390625,26081.060546875,199980,SHREECEM.NS
2021-08-22,26400.0,27031.599609375,25749.650390625,26897.75,26682.814453125,206352,SHREECEM.NS
2021-08-29,26900.099609375,30590.80078125,26830.80078125,30440.80078125,30197.552734375,457960,SHREECEM.NS
2021-09-05,30499.0,31256.94921875,30260.150390625,30671.349609375,30426.259765625,240599,SHREECEM.NS
2021-09-12,30672.0,31469.94921875,30128.0,30559.44921875,30315.25390625,316687,SHREECEM.NS
2021-09-19,30450.0,30700.0,29120.05078125,29411.80078125,29176.775390625,244735,SHREECEM.NS
2021-09-26,29632.150390625,29820.0,28581.849609375,29099.55078125,28867.021484375,143242,SHREECEM.NS
2021-10-03,29219.55078125,29425.25,27721.94921875,27757.150390625,27535.345703125,173203,SHREECEM.NS
2021-10-10,27755.0,28300.0,27627.0,27956.44921875,27733.0546875,155387,SHREECEM.NS
2021-10-17,28177.69921875,28393.349609375,27199.650390625,27738.19921875,27516.548828125,145539,SHREECEM.NS
2021-10-24,27625.0,29000.0,26811.19921875,28635.25,28406.43359375,174655,SHREECEM.NS
2021-10-31,28800.0,29600.0,28600.0,29047.19921875,28815.0859375,112129,SHREECEM.NS
2021-11-07,29050.0,29818.900390625,28850.0,29388.900390625,29154.05859375,121884,SHREECEM.NS
2021-11-14,29450.0,29748.0,26935.05078125,27167.30078125,26950.208984375,129172,SHREECEM.NS
2021-11-21,27290.0,27290.0,25812.0,25945.80078125,25738.47265625,146335,SHREECEM.NS
2021-11-28,25900.0,26749.0,25198.25,25914.05078125,25706.974609375,258784,SHREECEM.NS
2021-12-05,25933.5,26527.599609375,25529.94921875,26406.44921875,26195.439453125,104204,SHREECEM.NS
2021-12-12,26500.0,26636.099609375,25857.05078125,26224.849609375,26015.29296875,129165,SHREECEM.NS
2021-12-19,26140.0,26510.0,25000.05078125,26310.94921875,26100.703125,133683,SHREECEM.NS
2021-12-26,26160.19921875,27323.849609375,25910.25,26987.44921875,26771.796875,107562,SHREECEM.NS
2022-01-02,27000.0,27349.849609375,26250.650390625,27046.25,26830.125,121083,SHREECEM.NS
2022-01-09,27000.0,27283.69921875,26360.0,27078.44921875,26862.068359375,146110,SHREECEM.NS
2022-01-16,27005.0,27936.75,24811.55078125,25037.19921875,24837.130859375,313681,SHREECEM.NS
2022-01-23,25182.599609375,25289.94921875,23500.05078125,24124.69921875,23931.923828125,156618,SHREECEM.NS
2022-01-30,24550.0,25884.599609375,24210.599609375,24724.05078125,24526.484375,178740,SHREECEM.NS
2022-02-06,24489.0,25599.0,24300.0,24900.30078125,24701.326171875,139147,SHREECEM.NS
2022-02-13,24550.0,25189.75,23511.0,24349.55078125,24197.736328125,191786,SHREECEM.NS
2022-02-20,24340.0,24993.0,22832.0,23983.44921875,23833.91796875,315606,SHREECEM.NS
2022-02-27,23870.0,24496.0,22116.650390625,22550.349609375,22409.751953125,257558,SHREECEM.NS
2022-03-06,22149.849609375,22749.900390625,21650.0,22394.599609375,22254.97265625,741261,SHREECEM.NS
2022-03-13,22394.599609375,24385.0,21960.0,24090.19921875,23940.001953125,238167,SHREECEM.NS
2022-03-20,24188.05078125,24188.05078125,23032.0,23259.349609375,23114.33203125,193941,SHREECEM.NS
2022-03-27,23411.55078125,24651.0,22905.0,24612.849609375,24459.39453125,150883,SHREECEM.NS
2022-04-03,24590.0,25290.0,24328.94921875,25260.650390625,25103.154296875,149846,SHREECEM.NS
2022-04-10,25260.650390625,25515.349609375,24850.0,25363.55078125,25205.4140625,119535,SHREECEM.NS
2022-04-17,25170.0,26100.0,24649.400390625,25855.25,25694.048828125,156966,SHREECEM.NS
2022-04-24,25700.5,26340.0,25441.94921875,25921.5,25759.884765625,141278,SHREECEM.NS
2022-05-01,25812.849609375,26284.75,23850.0,23973.650390625,23824.181640625,140231,SHREECEM.NS
2022-05-08,23880.0,24740.0,22400.0,22565.349609375,22424.66015625,200772,SHREECEM.NS
2022-05-15,22845.0,23975.0,21690.0,22001.19921875,21864.025390625,230756,SHREECEM.NS
2022-05-22,21805.05078125,22174.900390625,20676.0,21927.05078125,21790.33984375,214471,SHREECEM.NS
2022-05-29,21900.19921875,22639.650390625,20550.0,20638.0,20509.32421875,264004,SHREECEM.NS
2022-06-05,20599.94921875,20599.94921875,18760.849609375,19178.849609375,19059.2734375,340126,SHREECEM.NS
2022-06-12,18603.44921875,19489.94921875,17980.19921875,18045.75,17933.23828125,237940,SHREECEM.NS
2022-06-19,17949.0,18937.400390625,17865.19921875,18793.650390625,18676.474609375,142851,SHREECEM.NS
2022-06-26,18900.0,19591.0,18815.0,19213.80078125,19094.005859375,263289,SHREECEM.NS
2022-07-03,19265.94921875,20348.0,19051.0,19932.80078125,19808.5234375,120409,SHREECEM.NS
2022-07-10,19919.94921875,20500.0,19375.0,19701.80078125,19578.962890625,107743,SHREECEM.NS
2022-07-17,19799.0,20887.19921875,19780.0,20780.0,20697.09765625,121007,SHREECEM.NS
2022-07-24,20700.0,21622.0,20039.94921875,20498.0,20416.22265625,245757,SHREECEM.NS
2022-07-31,20625.25,21290.0,20539.94921875,21237.400390625,21152.671875,149187,SHREECEM.NS
2022-08-07,21199.94921875,21450.0,20855.0,21152.19921875,21067.810546875,79525,SHREECEM.NS
2022-08-14,21152.19921875,21800.0,21050.0,21423.19921875,21337.728515625,114350,SHREECEM.NS
2022-08-21,21390.0,22200.69921875,20742.0,22097.900390625,22009.740234375,235327,SHREECEM.NS
2022-08-28,21415.0,22550.0,21011.0,21088.400390625,21004.265625,207710,SHREECEM.NS
